,rospy+AF8-node+AF8-type,log+AF8-severity,date+AF8-time,node+AF8-name,node+AF8-log
0,rospy.client,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,606+ACI-,+ACI-init+AF8-node,+ACI-,+ACI-name+AFs-/CommandServer+AF0-, pid+AFs-26727+AF0-+ACI-
24,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:29,148+ACI-,topic+AFs-/robot/state+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
25,rosout,INFO,+ACI-2023+AC0-11+AC0-11 15:00:29,165+ACI-,Robot,Enabled
26,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:29,444+ACI-,topic+AFs-/robot/set+AF8-super+AF8-enable+AF0-,+ACI-adding connection to +AFs-/realtime+AF8-loop+AF0-, count 0+ACI-
27,rospy.core,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,577+ACI-,signal+AF8-shutdown,+AFs-signal+AC0-2+AF0-
28,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,696+ACI-,topic+AFs-/rosout+AF0-,removing connection to /rosout
29,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,696+ACI-,topic+AFs-/robot/limb/right/set+AF8-speed+AF8-ratio+AF0-,removing connection to /realtime+AF8-loop
30,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,697+ACI-,topic+AFs-/robot/limb/right/joint+AF8-command+AF0-,removing connection to /realtime+AF8-loop
31,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,698+ACI-,topic+AFs-/robot/limb/right/joint+AF8-command+AF8-timeout+AF0-,removing connection to /realtime+AF8-loop
32,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,698+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/command+AF0-,removing connection to /end+AF8-effector+AF8-io
33,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,699+ACI-,topic+AFs-/robot/set+AF8-super+AF8-enable+AF0-,removing connection to /realtime+AF8-loop
34,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,700+ACI-,topic+AFs-/robot/limb/right/endpoint+AF8-state+AF0-,removing connection to http://021708CP00107.local:51079/
35,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,701+ACI-,topic+AFs-/robot/limb/right/tip+AF8-states+AF0-,removing connection to http://021708CP00107.local:51079/
36,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,704+ACI-,topic+AFs-/robot/limb/right/collision+AF8-detection+AF8-state+AF0-,removing connection to http://021708CP00107.local:51079/
37,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,704+ACI-,topic+AFs-/robot/limb/right/collision+AF8-detection+AF8-state+AF0-,removing connection to http://021708CP00107.local:51079/
38,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,705+ACI-,topic+AFs-/robot/joint+AF8-states+AF0-,removing connection to http://021708CP00107.local:51079/
39,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,706+ACI-,topic+AFs-/robot/joint+AF8-states+AF0-,removing connection to http://021708CP00107.local:58103/
40,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,707+ACI-,topic+AFs-/io/end+AF8-effector/config+AF0-,removing connection to http://021708CP00107.local:58103/
41,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,708+ACI-,topic+AFs-/io/end+AF8-effector/config+AF0-,removing connection to http://021708CP00107.local:58103/
42,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,708+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/config+AF0-,removing connection to http://021708CP00107.local:58103/
43,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,710+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/state+AF0-,removing connection to http://021708CP00107.local:58103/
44,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,710+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/state+AF0-,removing connection to http://021708CP00107.local:58103/
45,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:11,710+ACI-,topic+AFs-/robot/state+AF0-,removing connection to http://021708CP00107.local:51079/
46,rospy.core,INFO,+ACI-2023+AC0-11+AC0-11 15:15:12,179+ACI-,signal+AF8-shutdown,+AFs-atexit+AF0-
47,rospy.client,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,415+ACI-,+ACI-init+AF8-node,+ACI-,+ACI-name+AFs-/CommandServer+AF0-, pid+AFs-29235+AF0-+ACI-
48,xmlrpc,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,424+ACI-,XML+AC0-RPC,server binding to 0.0.0.0:0
49,xmlrpc,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,424+ACI-,Started,XML+AC0-RPC server +AFs-http://192.168.50.93:42553/+AF0-
50,rospy.impl.masterslave,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,424+ACI-,+AF8-ready:,http://192.168.50.93:42553/
51,rospy.init,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,425+ACI-,ROS,Slave URI: +AFs-http://192.168.50.93:42553/+AF0-
52,rospy.registration,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,426+ACI-,Registering,with master node http://021708CP00107.local:11311
53,xmlrpc,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,426+ACI-,xml,rpc node: starting XML+AC0-RPC server
54,rospy.init,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,525+ACI-,registered,with master
55,rospy.rosout,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,526+ACI-,initializing,/rosout core topic
56,rospy.rosout,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,533+ACI-,connected,to core topic /rosout
57,rospy.simtime,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,539+ACI-,/use+AF8-sim+AF8-time,+ACI-is not set, will not subscribe to simulated time +AFs-/clock+AF0- topic+ACI-
58,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,609+ACI-,topic+AFs-/robot/limb/right/endpoint+AF8-state+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
59,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,619+ACI-,topic+AFs-/robot/limb/right/tip+AF8-states+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
60,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,638+ACI-,topic+AFs-/robot/limb/right/collision+AF8-detection+AF8-state+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
61,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,643+ACI-,topic+AFs-/robot/joint+AF8-states+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
62,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,644+ACI-,topic+AFs-/robot/joint+AF8-states+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:58103/+AF0-, count 1+ACI-
63,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,671+ACI-,topic+AFs-/io/end+AF8-effector/config+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:58103/+AF0-, count 0+ACI-
64,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,770+ACI-,topic+AFs-/rosout+AF0-,+ACI-adding connection to +AFs-/rosout+AF0-, count 0+ACI-
65,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,773+ACI-,topic+AFs-/robot/limb/right/set+AF8-speed+AF8-ratio+AF0-,+ACI-adding connection to +AFs-/realtime+AF8-loop+AF0-, count 0+ACI-
66,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,774+ACI-,topic+AFs-/robot/limb/right/joint+AF8-command+AF0-,+ACI-adding connection to +AFs-/realtime+AF8-loop+AF0-, count 0+ACI-
67,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,856+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/config+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:58103/+AF0-, count 0+ACI-
68,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,858+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/state+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:58103/+AF0-, count 0+ACI-
69,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,875+ACI-,topic+AFs-/robot/limb/right/joint+AF8-command+AF8-timeout+AF0-,+ACI-adding connection to +AFs-/realtime+AF8-loop+AF0-, count 0+ACI-
70,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,888+ACI-,topic+AFs-/robot/state+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
71,rosout,INFO,+ACI-2023+AC0-11+AC0-11 15:15:13,917+ACI-,Robot,Enabled
72,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:14,075+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/command+AF0-,+ACI-adding connection to +AFs-/end+AF8-effector+AF8-io+AF0-, count 0+ACI-
73,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:15:14,176+ACI-,topic+AFs-/robot/set+AF8-super+AF8-enable+AF0-,+ACI-adding connection to +AFs-/realtime+AF8-loop+AF0-, count 0+ACI-
74,rospy.core,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,695+ACI-,signal+AF8-shutdown,+AFs-signal+AC0-2+AF0-
75,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,703+ACI-,topic+AFs-/rosout+AF0-,removing connection to /rosout
76,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,704+ACI-,topic+AFs-/robot/limb/right/set+AF8-speed+AF8-ratio+AF0-,removing connection to /realtime+AF8-loop
77,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,704+ACI-,topic+AFs-/robot/limb/right/joint+AF8-command+AF0-,removing connection to /realtime+AF8-loop
78,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,704+ACI-,topic+AFs-/robot/limb/right/joint+AF8-command+AF8-timeout+AF0-,removing connection to /realtime+AF8-loop
79,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,704+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/command+AF0-,removing connection to /end+AF8-effector+AF8-io
80,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,704+ACI-,topic+AFs-/robot/set+AF8-super+AF8-enable+AF0-,removing connection to /realtime+AF8-loop
81,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,705+ACI-,topic+AFs-/robot/limb/right/endpoint+AF8-state+AF0-,removing connection to http://021708CP00107.local:51079/
82,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,705+ACI-,topic+AFs-/robot/limb/right/tip+AF8-states+AF0-,removing connection to http://021708CP00107.local:51079/
83,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,705+ACI-,topic+AFs-/robot/limb/right/collision+AF8-detection+AF8-state+AF0-,removing connection to http://021708CP00107.local:51079/
84,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,706+ACI-,topic+AFs-/robot/joint+AF8-states+AF0-,removing connection to http://021708CP00107.local:51079/
85,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,706+ACI-,topic+AFs-/robot/joint+AF8-states+AF0-,removing connection to http://021708CP00107.local:58103/
86,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,706+ACI-,topic+AFs-/io/end+AF8-effector/config+AF0-,removing connection to http://021708CP00107.local:58103/
87,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,706+ACI-,topic+AFs-/io/end+AF8-effector/config+AF0-,removing connection to http://021708CP00107.local:58103/
88,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,706+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/config+AF0-,removing connection to http://021708CP00107.local:58103/
89,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,707+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/state+AF0-,removing connection to http://021708CP00107.local:58103/
90,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,707+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/state+AF0-,removing connection to http://021708CP00107.local:58103/
91,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,707+ACI-,topic+AFs-/robot/state+AF0-,removing connection to http://021708CP00107.local:51079/
92,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:28,707+ACI-,topic+AFs-/robot/state+AF0-,removing connection to http://021708CP00107.local:51079/
93,rospy.core,INFO,+ACI-2023+AC0-11+AC0-11 15:17:29,296+ACI-,signal+AF8-shutdown,+AFs-atexit+AF0-
94,rospy.client,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,619+ACI-,+ACI-init+AF8-node,+ACI-,+ACI-name+AFs-/CommandServer+AF0-, pid+AFs-29803+AF0-+ACI-
95,xmlrpc,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,628+ACI-,XML+AC0-RPC,server binding to 0.0.0.0:0
96,xmlrpc,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,629+ACI-,Started,XML+AC0-RPC server +AFs-http://192.168.50.93:40779/+AF0-
97,rospy.init,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,629+ACI-,ROS,Slave URI: +AFs-http://192.168.50.93:40779/+AF0-
98,rospy.impl.masterslave,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,629+ACI-,+AF8-ready:,http://192.168.50.93:40779/
99,rospy.registration,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,634+ACI-,Registering,with master node http://021708CP00107.local:11311
100,xmlrpc,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,634+ACI-,xml,rpc node: starting XML+AC0-RPC server
101,rospy.init,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,732+ACI-,registered,with master
102,rospy.rosout,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,732+ACI-,initializing,/rosout core topic
103,rospy.rosout,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,742+ACI-,connected,to core topic /rosout
104,rospy.simtime,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,745+ACI-,/use+AF8-sim+AF8-time,+ACI-is not set, will not subscribe to simulated time +AFs-/clock+AF0- topic+ACI-
105,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,811+ACI-,topic+AFs-/robot/limb/right/endpoint+AF8-state+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
106,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,820+ACI-,topic+AFs-/robot/limb/right/collision+AF8-detection+AF8-state+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
107,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,832+ACI-,topic+AFs-/robot/joint+AF8-states+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
108,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,835+ACI-,topic+AFs-/robot/joint+AF8-states+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:58103/+AF0-, count 1+ACI-
109,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,840+ACI-,topic+AFs-/robot/limb/right/tip+AF8-states+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
110,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,877+ACI-,topic+AFs-/io/end+AF8-effector/config+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:58103/+AF0-, count 0+ACI-
111,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:30,984+ACI-,topic+AFs-/rosout+AF0-,+ACI-adding connection to +AFs-/rosout+AF0-, count 0+ACI-
112,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:31,044+ACI-,topic+AFs-/robot/limb/right/joint+AF8-command+AF0-,+ACI-adding connection to +AFs-/realtime+AF8-loop+AF0-, count 0+ACI-
113,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:31,044+ACI-,topic+AFs-/robot/limb/right/set+AF8-speed+AF8-ratio+AF0-,+ACI-adding connection to +AFs-/realtime+AF8-loop+AF0-, count 0+ACI-
114,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:31,050+ACI-,topic+AFs-/robot/limb/right/joint+AF8-command+AF8-timeout+AF0-,+ACI-adding connection to +AFs-/realtime+AF8-loop+AF0-, count 0+ACI-
115,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:31,076+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/config+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:58103/+AF0-, count 0+ACI-
116,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:31,088+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/state+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:58103/+AF0-, count 0+ACI-
117,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:31,106+ACI-,topic+AFs-/robot/state+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
118,rosout,INFO,+ACI-2023+AC0-11+AC0-11 15:17:31,127+ACI-,Robot,Enabled
119,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:31,190+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/command+AF0-,+ACI-adding connection to +AFs-/end+AF8-effector+AF8-io+AF0-, count 0+ACI-
120,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:17:31,284+ACI-,topic+AFs-/robot/set+AF8-super+AF8-enable+AF0-,+ACI-adding connection to +AFs-/realtime+AF8-loop+AF0-, count 0+ACI-
121,rospy.core,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,051+ACI-,signal+AF8-shutdown,+AFs-signal+AC0-2+AF0-
122,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,072+ACI-,topic+AFs-/rosout+AF0-,removing connection to /rosout
123,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,072+ACI-,topic+AFs-/robot/limb/right/set+AF8-speed+AF8-ratio+AF0-,removing connection to /realtime+AF8-loop
124,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,073+ACI-,topic+AFs-/robot/limb/right/joint+AF8-command+AF0-,removing connection to /realtime+AF8-loop
125,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,074+ACI-,topic+AFs-/robot/limb/right/joint+AF8-command+AF8-timeout+AF0-,removing connection to /realtime+AF8-loop
126,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,074+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/command+AF0-,removing connection to /end+AF8-effector+AF8-io
127,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,075+ACI-,topic+AFs-/robot/set+AF8-super+AF8-enable+AF0-,removing connection to /realtime+AF8-loop
128,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,076+ACI-,topic+AFs-/robot/limb/right/endpoint+AF8-state+AF0-,removing connection to http://021708CP00107.local:51079/
129,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,076+ACI-,topic+AFs-/robot/limb/right/tip+AF8-states+AF0-,removing connection to http://021708CP00107.local:51079/
130,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,079+ACI-,topic+AFs-/robot/limb/right/collision+AF8-detection+AF8-state+AF0-,removing connection to http://021708CP00107.local:51079/
131,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,080+ACI-,topic+AFs-/robot/joint+AF8-states+AF0-,removing connection to http://021708CP00107.local:51079/
132,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,083+ACI-,topic+AFs-/robot/joint+AF8-states+AF0-,removing connection to http://021708CP00107.local:58103/
133,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,084+ACI-,topic+AFs-/io/end+AF8-effector/config+AF0-,removing connection to http://021708CP00107.local:58103/
134,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,085+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/config+AF0-,removing connection to http://021708CP00107.local:58103/
135,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,085+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/state+AF0-,removing connection to http://021708CP00107.local:58103/
136,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,086+ACI-,topic+AFs-/robot/state+AF0-,removing connection to http://021708CP00107.local:51079/
137,rospy.core,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,238+ACI-,signal+AF8-shutdown,+AFs-signal+AC0-2+AF0-
138,rospy.core,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,397+ACI-,signal+AF8-shutdown,+AFs-signal+AC0-2+AF0-
139,rospy.core,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,551+ACI-,signal+AF8-shutdown,+AFs-signal+AC0-2+AF0-
140,rospy.core,INFO,+ACI-2023+AC0-11+AC0-11 15:38:36,655+ACI-,signal+AF8-shutdown,+AFs-atexit+AF0-
141,rospy.client,INFO,+ACI-2023+AC0-11+AC0-11 15:38:38,064+ACI-,+ACI-init+AF8-node,+ACI-,+ACI-name+AFs-/CommandServer+AF0-, pid+AFs-32597+AF0-+ACI-
142,xmlrpc,INFO,+ACI-2023+AC0-11+AC0-11 15:38:38,064+ACI-,XML+AC0-RPC,server binding to 0.0.0.0:0
143,xmlrpc,INFO,+ACI-2023+AC0-11+AC0-11 15:38:38,064+ACI-,Started,XML+AC0-RPC server +AFs-http://192.168.50.93:38797/+AF0-
